10            -2409.5            1156
11            -2412.5            1406
1            -2421.5            -1397
2            -2409.5            -1123
3            -2427.5            -837
4            -2406.5            -548
5            -2406.5            -265
6            -2418.5            30
7            -2409.5            316
8            -2421.5            608
9            -2403.5            888
23            -2180.5            1162
24            -2186.5            1415
14            -2201.5            -1391
15            -2198.5            -1123
16            -2183.5            -846
17            -2198.5            -557
18            -2198.5            -271
19            -2183.5            18
20            -2183.5            310
21            -2198.5            590
22            -2183.5            891
140            132.5            1153
141            135.5            1412
131            135.5            -1394
132            132.5            -1129
133            135.5            -840
134            132.5            -563
135            132.5            -271
137            132.5            313
138            132.5            593
139            132.5            882
153            388.5            1156
154            388.5            1412
144            388.5            -1391
145            388.5            -1135
147            388.5            -563
148            388.5            -286
149            388.5            12
150            388.5            313
151            388.5            587
152            388.5            879
166            641.5            1156
167            641.5            1412
157            647.5            -1394
158            644.5            -1132
159            644.5            -852
160            644.5            -569
161            644.5            -280
162            644.5            15
163            644.5            310
164            641.5            590
165            641.5            870
179            909.5            1150
180            909.5            1409
170            909.5            -1400
171            909.5            -1123
172            906.5            -852
173            909.5            -563
174            909.5            -268
175            909.5            21
176            909.5            304
177            909.5            590
178            909.5            876
192            1171.5            1156
193            1171.5            1415
183            1171.5            -1394
184            1171.5            -1123
185            1171.5            -846
186            1171.5            -566
187            1171.5            -268
188            1168.5            21
189            1171.5            307
190            1171.5            593
191            1165.5            876
205            1421.5            1156
206            1415.5            1412
196            1424.5            -1391
197            1418.5            -1135
198            1421.5            -846
199            1424.5            -563
200            1421.5            -277
201            1421.5            18
202            1421.5            304
203            1421.5            587
204            1418.5            873
218            1683.5            1156
219            1680.5            1412
209            1686.5            -1394
210            1686.5            -1129
211            1683.5            -846
212            1683.5            -554
213            1680.5            -262
214            1683.5            24
215            1683.5            304
216            1683.5            593
217            1683.5            882
231            1951.5            1153
232            1945.5            1406
222            1951.5            -1388
223            1960.5            -1132
224            1960.5            -837
225            1960.5            -557
226            1948.5            -268
227            1954.5            15
228            1963.5            310
229            1948.5            590
230            1945.5            879
244            2183.5            1156
245            2186.5            1412
235            2198.5            -1391
236            2195.5            -1126
237            2183.5            -843
238            2198.5            -557
239            2189.5            -277
240            2180.5            21
241            2183.5            304
242            2183.5            593
243            2183.5            882
257            2412.5            1147
258            2409.5            1412
248            2418.5            -1394
249            2409.5            -1120
250            2409.5            -834
251            2397.5            -557
252            2418.5            -265
253            2406.5            21
254            2406.5            304
255            2406.5            581
256            2409.5            876
